"","X.SUBMITTED.ID","FBID_KEY","NAME","SYMBOL","phenotype"
"43","FBgn0003884","FBgn0003884","alpha-Tubulin at 84B","alphaTub84B","sterile_dominant"
"44","FBgn0001005","FBgn0001005","Female sterile (2) Vaja","Fs(2)Vaj","sterile_dominant"
"45","FBgn0003889","FBgn0003889","beta-Tubulin at 85D","betaTub85D","sterile_dominant"
"46","FBgn0011777","FBgn0011777","lethal (2) DTS18 Wright & Falke","l(2)DTS18WF","sterile_dominant"
"47","FBgn0001108","FBgn0001108","Dynactin 1, p150 subunit","DCTN1-p150","sterile_dominant"
"48","FBgn0003733","FBgn0003733","torso","tor","sterile_dominant"
"49","FBgn0003407","FBgn0003407","sieve","sie","sterile_dominant"
"50","FBgn0000182","FBgn0000182","Bicaudal C","BicC","sterile_dominant"
"51","FBgn0001004","FBgn0001004","Female sterile (2) Ugra","Fs(2)Ugr","sterile_dominant"
"52","FBgn0262473","FBgn0262473","Toll","Tl","sterile_dominant"
"53","FBgn0011661","FBgn0011661","Moesin","Moe","sterile_dominant"
"54","FBgn0000950","FBgn0000950","Female sterile (2) Barsa","Fs(2)Bar","sterile_dominant"
"55","FBgn0002031","FBgn0002031","Prohibitin 1","Phb1","sterile_dominant"
"56","FBgn0000970","FBgn0000970","Female sterile (2) Etre","Fs(2)Etr","sterile_dominant"
"57","FBgn0038345","FBgn0038345","maca","maca","sterile_dominant"
"58","FBgn0004061","FBgn0004061","bipolar oocyte","bip","sterile_recessive"
"59","FBgn0000911","FBgn0000911","female sterile (1) M121","fs(1)M121","sterile_recessive"
"60","FBgn0025156","FBgn0025156","ms(2)A11","ms(2)A11","sterile_recessive"
"61","FBgn0011256","FBgn0011256","male sterile (2) 30C","ms(2)30C","sterile_recessive"
"62","FBgn0001012","FBgn0001012","female sterile (3) A3","fs(3)A3","sterile_recessive"
"63","FBgn0000622","FBgn0000622","enhancer of yellow 6","e(y)6","sterile_recessive"
"64","FBgn0004367","FBgn0004367","meiotic 41","mei-41","sterile_recessive"
"65","FBgn0000837","FBgn0000837","female sterile (1) M21","fs(1)M21","sterile_recessive"
"66","FBgn0025142","FBgn0025142","ms(3)A5","ms(3)A5","sterile_recessive"
"67","FBgn0000943","FBgn0000943","female sterile (2) A13","fs(2)A13","sterile_recessive"
"68","FBgn0003189","FBgn0003189","rudimentary","r","sterile_recessive"
"69","FBgn0000309","FBgn0000309","chaetelle","chl","sterile_recessive"
"70","FBgn0011244","FBgn0011244","Heat shock protein 60B","Hsp60B","sterile_recessive"
"71","FBgn0005322","FBgn0005322","no mitochondrial derivative","nmd","sterile_recessive"
"72","FBgn0028635","FBgn0028635","indirect flight muscle (2) RU7","ifm(2)RU7","sterile_recessive"
"73","FBgn0000744","FBgn0000744","female sterile (1) A248","fs(1)A248","sterile_recessive"
"74","FBgn0000829","FBgn0000829","female sterile (1) M8","fs(1)M8","sterile_recessive"
"75","FBgn0267347","FBgn0267347","squash","squ","sterile_recessive"
"76","FBgn0010441","FBgn0010441","pelle","pll","sterile_recessive"
"77","FBgn0000783","FBgn0000783","female sterile (1) A1559","fs(1)A1559","sterile_recessive"
"78","FBgn0005048","FBgn0005048","extra venation","exr","sterile_recessive"
"79","FBgn0001023","FBgn0001023","female sterile (3) A14","fs(3)A14","sterile_recessive"
"80","FBgn0265630","FBgn0265630","strawberry notch","sno","sterile_recessive"
"81","FBgn0001142","FBgn0001142","Glutamine synthetase 1","Gs1","sterile_recessive"
"82","FBgn0020856","FBgn0020856","female sterile(2)261505","fs(2)261505","sterile_recessive"
"83","FBgn0010431","FBgn0010431","matrimony","mtrm","sterile_recessive"
"84","FBgn0003297","FBgn0003297","rubbish","rubb","sterile_recessive"
"85","FBgn0046704","FBgn0046704","Liprin-alpha","Liprin-alpha","sterile_recessive"
"86","FBgn0000617","FBgn0000617","TBP-associated factor 9","Taf9","sterile_recessive"
"87","FBgn0002566","FBgn0002566","light","lt","sterile_recessive"
"88","FBgn0002667","FBgn0002667","maternal effect early arrest D","mat(2)ea-D","sterile_recessive"
"89","FBgn0000760","FBgn0000760","female sterile (1) A475","fs(1)A475","sterile_recessive"
"90","FBgn0000862","FBgn0000862","female sterile (1) M56","fs(1)M56","sterile_recessive"
"91","FBgn0025145","FBgn0025145","ms(3)A2","ms(3)A2","sterile_recessive"
"92","FBgn0260936","FBgn0260936","scrawny","scny","sterile_recessive"
"93","FBgn0001133","FBgn0001133","grauzone","grau","sterile_recessive"
"94","FBgn0010314","FBgn0010314","Cyclin-dependent kinase subunit 30A","Cks30A","sterile_recessive"
"95","FBgn0003198","FBgn0003198","rags","rags","sterile_recessive"
"96","FBgn0061492","FBgn0061492","logjam","loj","sterile_recessive"
"97","FBgn0003165","FBgn0003165","pumilio","pum","sterile_recessive"
"98","FBgn0000422","FBgn0000422","Dopa decarboxylase","Ddc","sterile_recessive"
"99","FBgn0017457","FBgn0017457","U2 small nuclear riboprotein auxiliary factor 38","U2af38","sterile_recessive"
"100","FBgn0003733","FBgn0003733","torso","tor","sterile_recessive"
"101","FBgn0000924","FBgn0000924","female sterile (1) no eggs 12","fs(1)ne12","sterile_recessive"
"102","FBgn0000182","FBgn0000182","Bicaudal C","BicC","sterile_recessive"
"103","FBgn0037092","FBgn0037092","M6","M6","sterile_recessive"
"104","FBgn0011233","FBgn0011233","thousand points of light","tho","sterile_recessive"
"105","FBgn0000758","FBgn0000758","female sterile (1) A462","fs(1)A462","sterile_recessive"
"106","FBgn0002192","FBgn0002192","lethal (3) 63Bc","l(3)63Bc","sterile_recessive"
"107","FBgn0005632","FBgn0005632","fat facets","faf","sterile_recessive"
"108","FBgn0020803","FBgn0020803","ms(3)C131","ms(3)C131","sterile_recessive"
"109","FBgn0000888","FBgn0000888","female sterile (1) M86","fs(1)M86","sterile_recessive"
"110","FBgn0000915","FBgn0000915","female sterile (1) no eggs 1","fs(1)ne1","sterile_recessive"
"111","FBgn0265998","FBgn0265998","Darkener of apricot","Doa","sterile_recessive"
"112","FBgn0000828","FBgn0000828","female sterile (1) A147","fs(1)A147","sterile_recessive"
"113","FBgn0003447","FBgn0003447","singed","sn","sterile_recessive"
"114","FBgn0000881","FBgn0000881","female sterile (1) M79","fs(1)M79","sterile_recessive"
"115","FBgn0003459","FBgn0003459","stonewall","stwl","sterile_recessive"
"116","FBgn0003310","FBgn0003310","Star","S","sterile_recessive"
"117","FBgn0000806","FBgn0000806","female sterile (1) defective eggs 17","fs(1)de17","sterile_recessive"
"118","FBgn0000629","FBgn0000629","Enhancer of zeste","E(z)","sterile_recessive"
"119","FBgn0032197","FBgn0032197","ovaries absent","ova","sterile_recessive"
"120","FBgn0052351","FBgn0052351","Sperm-Leucylaminopeptidase 2","S-Lap2","sterile_recessive"
"121","FBgn0000891","FBgn0000891","female sterile (1) M89","fs(1)M89","sterile_recessive"
"122","FBgn0027110","FBgn0027110","ms(2)RK2","ms(2)RK2","sterile_recessive"
"123","FBgn0003978","FBgn0003978","valois","vls","sterile_recessive"
"124","FBgn0001014","FBgn0001014","female sterile (3) A5","fs(3)A5","sterile_recessive"
"125","FBgn0000938","FBgn0000938","female sterile (2) A8","fs(2)A8","sterile_recessive"
"126","FBgn0001024","FBgn0001024","female sterile (3) A15","fs(3)A15","sterile_recessive"
"127","FBgn0002820","FBgn0002820","male sterile (2) 10R","ms(2)10R","sterile_recessive"
"128","FBgn0004903","FBgn0004903","Ribonuclear protein at 97D","Rb97D","sterile_recessive"
"129","FBgn0261529","FBgn0261529","male sterile (2) 34Fe","ms(2)34Fe","sterile_recessive"
"130","FBgn0003480","FBgn0003480","spindle B","spn-B","sterile_recessive"
"131","FBgn0051759","FBgn0051759","-","CG31759","sterile_recessive"
"132","FBgn0039858","FBgn0039858","Cyclin G","CycG","sterile_recessive"
"133","FBgn0034521","FBgn0034521","Mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase","Mgat1","sterile_recessive"
"134","FBgn0032492","FBgn0032492","Proteasome alpha6 subunit, Testis-specific","Prosalpha6T","sterile_recessive"
"135","FBgn0033273","FBgn0033273","Gasz","Gasz","sterile_recessive"
"136","FBgn0264695","FBgn0264695","Myosin heavy chain","Mhc","sterile_recessive"
"137","FBgn0021772","FBgn0021772","ms(3)P122","ms(3)P122","sterile_recessive"
"138","FBgn0040214","FBgn0040214","fs(?)BL54","fs(?)BL54","sterile_recessive"
"139","FBgn0003527","FBgn0003527","stand still","stil","sterile_recessive"
"140","FBgn0000351","FBgn0000351","cortex","cort","sterile_recessive"
"141","FBgn0004882","FBgn0004882","oo18 RNA-binding protein","orb","sterile_recessive"
"142","FBgn0004992","FBgn0004992","cloudy","cld","sterile_recessive"
"143","FBgn0016917","FBgn0016917","Signal-transducer and activator of transcription protein at 92E","Stat92E","sterile_recessive"
"144","FBgn0000766","FBgn0000766","female sterile (1) A1010","fs(1)A1010","sterile_recessive"
"145","FBgn0027499","FBgn0027499","windei","wde","sterile_recessive"
"146","FBgn0040213","FBgn0040213","fs(?)BP73","fs(?)BP73","sterile_recessive"
"147","FBgn0287630","FBgn0287630","doublefault","dbf","sterile_recessive"
"148","FBgn0002022","FBgn0002022","Catecholamines up","Catsup","sterile_recessive"
"149","FBgn0002828","FBgn0002828","male sterile (2) E7","ms(2)E7","sterile_recessive"
"150","FBgn0005388","FBgn0005388","female sterile (1) A457","fs(1)A457","sterile_recessive"
"151","FBgn0000814","FBgn0000814","female sterile (1) K254","fs(1)K254","sterile_recessive"
"152","FBgn0051864","FBgn0051864","Quetzalcoatl","Qtzl","sterile_recessive"
"153","FBgn0000988","FBgn0000988","maternal metaphase arrest","mama","sterile_recessive"
"154","FBgn0039561","FBgn0039561","mitoferrin","mfrn","sterile_recessive"
"155","FBgn0000939","FBgn0000939","female sterile (2) A9","fs(2)A9","sterile_recessive"
"156","FBgn0285964","FBgn0285964","-","ms(2)05704","sterile_recessive"
"157","FBgn0000813","FBgn0000813","female sterile (1) K163","fs(1)K163","sterile_recessive"
"158","FBgn0002807","FBgn0002807","male sterile (1) 20Ab","ms(1)20Ab","sterile_recessive"
"159","FBgn0283652","FBgn0283652","Ribonuclease P/MRP subunit p30","Rpp30","sterile_recessive"
"160","FBgn0011225","FBgn0011225","jaguar","jar","sterile_recessive"
"161","FBgn0020855","FBgn0020855","fs(2)C10","fs(2)C10","sterile_recessive"
"162","FBgn0025517","FBgn0025517","fs(3)82CDa","fs(3)82CDa","sterile_recessive"
"163","FBgn0010417","FBgn0010417","TBP-associated factor 6","Taf6","sterile_recessive"
"164","FBgn0000765","FBgn0000765","female sterile (1) A1001","fs(1)A1001","sterile_recessive"
"165","FBgn0013765","FBgn0013765","centrosomin","cnn","sterile_recessive"
"166","FBgn0000836","FBgn0000836","female sterile (1) M20","fs(1)M20","sterile_recessive"
"167","FBgn0000779","FBgn0000779","female sterile (1) A1459","fs(1)A1459","sterile_recessive"
"168","FBgn0004978","FBgn0004978","abnormal tarsi","ats","sterile_recessive"
"169","FBgn0034646","FBgn0034646","Rae1","Rae1","sterile_recessive"
"170","FBgn0028577","FBgn0028577","half pint","hfp","sterile_recessive"
"171","FBgn0263102","FBgn0263102","pipsqueak","psq","sterile_recessive"
"172","FBgn0263391","FBgn0263391","hu li tai shao","hts","sterile_recessive"
"173","FBgn0003426","FBgn0003426","slipshod","slip","sterile_recessive"
"174","FBgn0002806","FBgn0002806","male sterile (1) 20Aa","ms(1)20Aa","sterile_recessive"
"175","FBgn0260632","FBgn0260632","dorsal","dl","sterile_recessive"
"176","FBgn0004074","FBgn0004074","ovarian tumor at 37D-38A","ovt","sterile_recessive"
"177","FBgn0004849","FBgn0004849","Suppressor of variegation 2-1","Su(var)2-1","sterile_recessive"
"178","FBgn0033402","FBgn0033402","Myd88","Myd88","sterile_recessive"
"179","FBgn0003892","FBgn0003892","patched","ptc","sterile_recessive"
"180","FBgn0002685","FBgn0002685","minus bar","mb","sterile_recessive"
"181","FBgn0020238","FBgn0020238","14-3-3epsilon","14-3-3epsilon","sterile_recessive"
"182","FBgn0000608","FBgn0000608","enhancer of white-eosin","e(w[e])","sterile_recessive"
"183","FBgn0000910","FBgn0000910","female sterile (1) M120","fs(1)M120","sterile_recessive"
"184","FBgn0040215","FBgn0040215","fs(3)BQ16","fs(3)BQ16","sterile_recessive"
"185","FBgn0020546","FBgn0020546","long non-coding RNA:iab4","lncRNA:iab4","sterile_recessive"
"186","FBgn0025143","FBgn0025143","ms(3)A4","ms(3)A4","sterile_recessive"
"187","FBgn0000463","FBgn0000463","Delta","Delta","sterile_recessive"
"188","FBgn0000865","FBgn0000865","female sterile (1) M59","fs(1)M59","sterile_recessive"
"189","FBgn0026598","FBgn0026598","Adenomatous polyposis coli 2","Apc2","sterile_recessive"
"190","FBgn0000743","FBgn0000743","female sterile (1) A214","fs(1)A214","sterile_recessive"
"191","FBgn0002677","FBgn0002677","maternal effect syncytial blastoderm arrest E","mat(2)syn-E","sterile_recessive"
"192","FBgn0000808","FBgn0000808","gastrulation-defective","gd","sterile_recessive"
"193","FBgn0000890","FBgn0000890","female sterile (1) M88","fs(1)M88","sterile_recessive"
"194","FBgn0000755","FBgn0000755","female sterile (1) A436","fs(1)A436","sterile_recessive"
"195","FBgn0265351","FBgn0265351","neuronally altered carbohydrate","nac","sterile_recessive"
"196","FBgn0003742","FBgn0003742","transformer 2","tra2","sterile_recessive"
"197","FBgn0034841","FBgn0034841","atlas","atlas","sterile_recessive"
"198","FBgn0003968","FBgn0003968","varied outspread","vao","sterile_recessive"
"199","FBgn0002121","FBgn0002121","lethal (2) giant larvae","l(2)gl","sterile_recessive"
"200","FBgn0005053","FBgn0005053","female sterile (1) no eggs 6","fs(1)ne6","sterile_recessive"
"201","FBgn0000875","FBgn0000875","female sterile (1) M73","fs(1)M73","sterile_recessive"
"202","FBgn0001233","FBgn0001233","Heat shock protein 83","Hsp83","sterile_recessive"
"203","FBgn0033846","FBgn0033846","Myb-interacting protein 120","mip120","sterile_recessive"
"204","FBgn0000948","FBgn0000948","female sterile (2) A18","fs(2)A18","sterile_recessive"
"205","FBgn0025151","FBgn0025151","ms(2)A5","ms(2)A5","sterile_recessive"
"206","FBgn0002705","FBgn0002705","megaoculus","meg","sterile_recessive"
"207","FBgn0020798","FBgn0020798","nineless","nls","sterile_recessive"
"208","FBgn0067663","FBgn0067663","poached","poached","sterile_recessive"
"209","FBgn0011250","FBgn0011250","male sterile (3) 72D","ms(3)72D","sterile_recessive"
"210","FBgn0010300","FBgn0010300","brain tumor","brat","sterile_recessive"
"211","FBgn0035608","FBgn0035608","blanks","blanks","sterile_recessive"
"212","FBgn0000927","FBgn0000927","female sterile (1) Young arrest","fs(1)Ya","sterile_recessive"
"213","FBgn0000479","FBgn0000479","dunce","dnc","sterile_recessive"
"214","FBgn0000799","FBgn0000799","female sterile (1) defective eggs 10","fs(1)de10","sterile_recessive"
"215","FBgn0002885","FBgn0002885","mutagen-sensitive 111","mus111","sterile_recessive"
"216","FBgn0000158","FBgn0000158","bag of marbles","bam","sterile_recessive"
"217","FBgn0000209","FBgn0000209","Blackpatch","Bpt","sterile_recessive"
"218","FBgn0002031","FBgn0002031","Prohibitin 1","Phb1","sterile_recessive"
"219","FBgn0004664","FBgn0004664","male sterile (3) HO5A","ms(3)HO5A","sterile_recessive"
"220","FBgn0004811","FBgn0004811","female sterile (2) ltoPP43","fs(2)ltoPP43","sterile_recessive"
"221","FBgn0011211","FBgn0011211","bellwether","blw","sterile_recessive"
"222","FBgn0263988","FBgn0263988","Dynein intermediate chain at 61B","Dic61B","sterile_recessive"
"223","FBgn0011205","FBgn0011205","fumble","fbl","sterile_recessive"
"224","FBgn0020804","FBgn0020804","ms(3)A81","ms(3)A81","sterile_recessive"
"225","FBgn0027579","FBgn0027579","minotaur","mino","sterile_recessive"
"226","FBgn0001113","FBgn0001113","glide","glide","sterile_recessive"
"227","FBgn0040038","FBgn0040038","kelch like family member 10","klhl10","sterile_recessive"
"228","FBgn0045770","FBgn0045770","Sperm-Leucylaminopeptidase 3","S-Lap3","sterile_recessive"
"229","FBgn0000183","FBgn0000183","Bicaudal D","BicD","sterile_recessive"
"230","FBgn0003483","FBgn0003483","spindle E","spn-E","sterile_recessive"
"231","FBgn0000546","FBgn0000546","Ecdysone receptor","EcR","sterile_recessive"
"232","FBgn0000916","FBgn0000916","female sterile (1) no eggs 2","fs(1)ne2","sterile_recessive"
"233","FBgn0002653","FBgn0002653","maternal effect cellularisation defect B","mat(2)cell-B","sterile_recessive"
"234","FBgn0003905","FBgn0003905","tiny","ty","sterile_recessive"
"235","FBgn0000842","FBgn0000842","female sterile (1) M29","fs(1)M29","sterile_recessive"
"236","FBgn0036398","FBgn0036398","upSET","upSET","sterile_recessive"
"237","FBgn0010315","FBgn0010315","Cyclin D","CycD","sterile_recessive"
"238","FBgn0002659","FBgn0002659","female sterile (2) 51Fb","fs(2)51Fb","sterile_recessive"
"239","FBgn0028378","FBgn0028378","fs(1)3B","fs(1)3B","sterile_recessive"
"240","FBgn0264442","FBgn0264442","abrupt","ab","sterile_recessive"
"241","FBgn0063393","FBgn0063393","sine prole","sip","sterile_recessive"
"242","FBgn0061476","FBgn0061476","Zwilch","Zwilch","sterile_recessive"
"243","FBgn0001013","FBgn0001013","female sterile (3) A4","fs(3)A4","sterile_recessive"
"244","FBgn0035142","FBgn0035142","Homeodomain interacting protein kinase","Hipk","sterile_recessive"
"245","FBgn0011239","FBgn0011239","male sterile (2) 35Ci","ms(2)35Ci","sterile_recessive"
"246","FBgn0025181","FBgn0025181","fs(1)11-1505","fs(1)11-1505","sterile_recessive"
"247","FBgn0001086","FBgn0001086","fizzy","fzy","sterile_recessive"
"248","FBgn0005638","FBgn0005638","slow border cells","slbo","sterile_recessive"
"249","FBgn0002830","FBgn0002830","male sterile (2) E9","ms(2)E9","sterile_recessive"
"250","FBgn0002662","FBgn0002662","maternal effect cellularisation defect K","mat(2)cell-K","sterile_recessive"
"251","FBgn0000935","FBgn0000935","female sterile (2) A5","fs(2)A5","sterile_recessive"
"252","FBgn0015552","FBgn0015552","tegamino","teg","sterile_recessive"
"253","FBgn0040290","FBgn0040290","RecQ4 helicase","RecQ4","sterile_recessive"
"254","FBgn0004656","FBgn0004656","female sterile (1) homeotic","fs(1)h","sterile_recessive"
"255","FBgn0000887","FBgn0000887","female sterile (1) M85","fs(1)M85","sterile_recessive"
"256","FBgn0283451","FBgn0283451","broad","br","sterile_recessive"
"257","FBgn0000841","FBgn0000841","female sterile (1) M28","fs(1)M28","sterile_recessive"
"258","FBgn0052062","FBgn0052062","RNA-binding Fox protein 1","Rbfox1","sterile_recessive"
"259","FBgn0000853","FBgn0000853","female sterile (1) M43","fs(1)M43","sterile_recessive"
"260","FBgn0000815","FBgn0000815","female sterile (1) K524","fs(1)K524","sterile_recessive"
"261","FBgn0065114","FBgn0065114","male-female-sterile in region 6E","mfs(1)6E","sterile_recessive"
"262","FBgn0263396","FBgn0263396","squid","sqd","sterile_recessive"
"263","FBgn0044518","FBgn0044518","indirect flight muscle (2) RU486","ifm(2)RU486","sterile_recessive"
"264","FBgn0010226","FBgn0010226","Glutathione S transferase S1","GstS1","sterile_recessive"
"265","FBgn0002827","FBgn0002827","male sterile (2) E6","ms(2)E6","sterile_recessive"
"266","FBgn0010097","FBgn0010097","gamma-Tubulin at 37C","gammaTub37C","sterile_recessive"
"267","FBgn0021761","FBgn0021761","Nucleoporin 154kD","Nup154","sterile_recessive"
"268","FBgn0000845","FBgn0000845","female sterile (1) M32","fs(1)M32","sterile_recessive"
"269","FBgn0000941","FBgn0000941","female sterile (2) A11","fs(2)A11","sterile_recessive"
"270","FBgn0002681","FBgn0002681","maternal effect syncytial blastoderm arrest I","mat(2)syn-I","sterile_recessive"
"271","FBgn0003462","FBgn0003462","Superoxide dismutase 1","Sod1","sterile_recessive"
"272","FBgn0011760","FBgn0011760","cut up","ctp","sterile_recessive"
"273","FBgn0000194","FBgn0000194","bladderwing","bla","sterile_recessive"
"274","FBgn0003144","FBgn0003144","pratfall","pratf","sterile_recessive"
"275","FBgn0001010","FBgn0001010","female sterile (3) A1","fs(3)A1","sterile_recessive"
"276","FBgn0003731","FBgn0003731","Epidermal growth factor receptor","Egfr","sterile_recessive"
"277","FBgn0000768","FBgn0000768","female sterile (1) A1042","fs(1)A1042","sterile_recessive"
"278","FBgn0261385","FBgn0261385","scraps","scra","sterile_recessive"
"279","FBgn0028990","FBgn0028990","Serpin 27A","Spn27A","sterile_recessive"
"280","FBgn0003303","FBgn0003303","raven","rv","sterile_recessive"
"281","FBgn0020801","FBgn0020801","ms(3)D185","ms(3)D185","sterile_recessive"
"282","FBgn0000893","FBgn0000893","female sterile (1) M93","fs(1)M93","sterile_recessive"
"283","FBgn0000754","FBgn0000754","female sterile (1) A427","fs(1)A427","sterile_recessive"
"284","FBgn0002736","FBgn0002736","mago nashi","mago","sterile_recessive"
"285","FBgn0004875","FBgn0004875","encore","enc","sterile_recessive"
"286","FBgn0262656","FBgn0262656","Myc","Myc","sterile_recessive"
"287","FBgn0003545","FBgn0003545","subito","sub","sterile_recessive"
"288","FBgn0000729","FBgn0000729","female sterile (1) 5e","fs(1)5e","sterile_recessive"
"289","FBgn0000307","FBgn0000307","chiffon","chif","sterile_recessive"
"290","FBgn0000876","FBgn0000876","female sterile (1) M74","fs(1)M74","sterile_recessive"
"291","FBgn0267978","FBgn0267978","apterous","ap","sterile_recessive"
"292","FBgn0261988","FBgn0261988","G protein-coupled receptor kinase 2","Gprk2","sterile_recessive"
"293","FBgn0000878","FBgn0000878","female sterile (1) M76","fs(1)M76","sterile_recessive"
"294","FBgn0002825","FBgn0002825","male sterile (2) E4","ms(2)E4","sterile_recessive"
"295","FBgn0004650","FBgn0004650","female sterile (1) Nasrat","fs(1)N","sterile_recessive"
"296","FBgn0027500","FBgn0027500","spindle defective 2","spd-2","sterile_recessive"
"297","FBgn0260397","FBgn0260397","Suppressor of variegation 3-3","Su(var)3-3","sterile_recessive"
"298","FBgn0001026","FBgn0001026","female sterile (3) A17","fs(3)A17","sterile_recessive"
"299","FBgn0028637","FBgn0028637","indirect flight muscle (2) RU5","ifm(2)RU5","sterile_recessive"
"300","FBgn0002525","FBgn0002525","Lamin","Lam","sterile_recessive"
"301","FBgn0003449","FBgn0003449","sans fille","snf","sterile_recessive"
"302","FBgn0002832","FBgn0002832","male sterile (2) E11","ms(2)E11","sterile_recessive"
"303","FBgn0020248","FBgn0020248","stem cell tumor","stet","sterile_recessive"
"304","FBgn0000831","FBgn0000831","female sterile (1) M13","fs(1)M13","sterile_recessive"
"305","FBgn0003370","FBgn0003370","shifted genitals","sge","sterile_recessive"
"306","FBgn0003679","FBgn0003679","tenerchaetae","te","sterile_recessive"
"307","FBgn0002654","FBgn0002654","maternal effect cellularisation defect C","mat(2)cell-C","sterile_recessive"
"308","FBgn0261786","FBgn0261786","minus","mi","sterile_recessive"
"309","FBgn0000085","FBgn0000085","anomogenitals","ano","sterile_recessive"
"310","FBgn0003441","FBgn0003441","smoky","smk","sterile_recessive"
"311","FBgn0000320","FBgn0000320","eyes absent","eya","sterile_recessive"
"312","FBgn0085444","FBgn0085444","muscle wasted","mute","sterile_recessive"
"313","FBgn0002655","FBgn0002655","maternal effect cellularisation defect D","mat(2)cell-D","sterile_recessive"
"314","FBgn0013311","FBgn0013311","P element transposase","P\T","sterile_recessive"
"315","FBgn0003534","FBgn0003534","stocky","sto","sterile_recessive"
"316","FBgn0000936","FBgn0000936","female sterile (2) A6","fs(2)A6","sterile_recessive"
"317","FBgn0011249","FBgn0011249","double loops of the Y 1","dolly-1","sterile_recessive"
"318","FBgn0000899","FBgn0000899","female sterile (1) M108","fs(1)M108","sterile_recessive"
"319","FBgn0025511","FBgn0025511","fs(3)82EFe","fs(3)82EFe","sterile_recessive"
"320","FBgn0021774","FBgn0021774","ms(2)985","ms(2)985","sterile_recessive"
"321","FBgn0015600","FBgn0015600","toucan","toc","sterile_recessive"
"322","FBgn0002661","FBgn0002661","maternal effect cellularisation defect J","mat(2)cell-J","sterile_recessive"
